course_id,exam_code,conjunto_id,weight
0200_3082_9254,18,5,0.5
0200_3082_9254,04,6,0.5
0200_3082_9254,18,6,0.5
0200_3083_9089,07,1,0.5
0200_3083_9089,16,1,0.5
0200_3083_L209,16,1,0.5
0200_3083_L209,04,1,0.5
0200_3083_L209,16,2,0.5
0200_3083_L209,07,2,0.5
0200_3083_L209,16,3,0.5
0200_3083_L209,10,3,0.5
0200_3083_L209,16,4,0.5
0200_3083_L209,18,4,0.5
0200_3083_9123,07,1,0.5
0200_3083_9123,16,1,0.5
0200_3083_L269,07,1,0.5
0200_3083_L269,16,1,0.5
0200_3083_L269,16,2,0.5
0200_3083_L269,18,2,0.5
0200_3083_L269,04,3,0.5
0200_3083_L269,16,3,0.5
0200_3087_9147,04,1,0.5
0200_3087_9147,18,1,0.5
0200_3087_9147,17,2,0.5
0200_3087_9147,18,2,0.5
0200_3087_9147,04,3,0.5
0200_3087_9147,09,3,0.5
0200_3087_9147,04,4,0.5
0200_3087_9147,13,4,0.5
0200_3087_9147,04,5,0.5
0200_3087_9147,17,5,0.5
0200_3087_9147,04,6,0.5
0200_3087_9147,06,6,0.5
0200_3087_9148,04,1,0.5
0200_3087_9148,18,1,0.5
0200_3087_9148,17,2,0.5
0200_3087_9148,18,2,0.5
0200_3087_9148,04,3,0.5
0200_3087_9148,09,3,0.5
0200_3087_9148,04,4,0.5
0200_3087_9148,13,4,0.5
0200_3087_9148,04,5,0.5
0200_3087_9148,17,5,0.5
0200_3087_9148,04,6,0.5
0200_3087_9148,06,6,0.5
0200_3087_9254,09,1,0.5
0200_3087_9254,18,1,0.5
0200_3087_9254,06,2,0.5
0200_3087_9254,18,2,0.5
0200_3087_9254,11,3,0.5
0200_3087_9254,13,3,0.5
0200_3087_9254,11,4,0.5
0200_3087_9254,18,4,0.5
0200_3087_9254,13,5,0.5
0200_3087_9254,18,5,0.5
0200_3087_9254,04,6,0.5
0200_3087_9254,18,6,0.5
0200_7035_L068,02,1,0.5
0200_7035_L068,16,1,0.5
0200_7035_L068,02,2,0.5
0200_7035_L068,07,2,0.5
0200_7035_L068,02,3,0.5
0200_7035_L068,18,3,0.5
0200_7035_8149,02,1,0.5
0200_7035_8149,16,1,0.5
0200_7035_8149,02,2,0.5
0200_7035_8149,07,2,0.5
0200_7035_8149,02,3,0.5
0200_7035_8149,18,3,0.5
0200_7035_9500,02,1,0.5
0200_7035_9500,16,1,0.5
0200_7035_9500,02,2,0.5
0200_7035_9500,07,2,0.5
0200_7035_9500,02,3,0.5
0200_7035_9500,18,3,0.5
0200_7035_9549,02,1,0.5
0200_7035_9549,16,1,0.5
0200_7035_9549,02,2,0.5
0200_7035_9549,07,2,0.5
0200_7035_9549,02,3,0.5
0200_7035_9549,18,3,0.5
0200_7035_9504,02,1,0.5
0200_7035_9504,16,1,0.5
0200_7035_9504,02,2,0.5
0200_7035_9504,07,2,0.5
0200_7035_9504,02,3,0.5
0200_7035_9504,18,3,0.5
0200_7035_L066,02,1,0.5
0200_7035_L066,16,1,0.5
0200_7035_L066,02,2,0.5
0200_7035_L066,07,2,0.5
0200_7035_L066,02,3,0.5
0200_7035_L066,18,3,0.5
0200_7035_9890,02,1,0.5
0200_7035_9890,07,1,0.5
0200_7035_9890,02,2,0.5
0200_7035_9890,16,2,0.5
0200_7035_9890,02,3,0.5
0200_7035_9890,18,3,0.5
